constructorId;name;nationality;url;total_pole_positions_1950_to_2023
1;McLaren;British;http://en.wikipedia.org/wiki/McLaren;179
2;BMW Sauber;German;http://en.wikipedia.org/wiki/BMW_Sauber;1
3;Williams;British;http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering;114
4;Renault;French;http://en.wikipedia.org/wiki/Renault_in_Formula_One;35
5;Toro Rosso;Italian;http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso;1
6;Ferrari;Italian;http://en.wikipedia.org/wiki/Scuderia_Ferrari;243
9;Red Bull;Austrian;http://en.wikipedia.org/wiki/Red_Bull_Racing;92
11;Honda;Japanese;http://en.wikipedia.org/wiki/Honda_Racing_F1;3
17;Jordan;Irish;http://en.wikipedia.org/wiki/Jordan_Grand_Prix;4
22;Benetton;Italian;http://en.wikipedia.org/wiki/Benetton_Formula;27
23;Brawn;British;http://en.wikipedia.org/wiki/Brawn_GP;8
24;Stewart;British;http://en.wikipedia.org/wiki/Stewart_Grand_Prix;1
25;Tyrrell;British;http://en.wikipedia.org/wiki/Tyrrell_Racing;23
27;Ligier;French;http://en.wikipedia.org/wiki/Ligier;9
32;Team Lotus;British;http://en.wikipedia.org/wiki/Team_Lotus;45
34;Brabham;British;http://en.wikipedia.org/wiki/Brabham;23
37;March;British;http://en.wikipedia.org/wiki/March_Engineering;3
51;Alfa Romeo;Swiss;http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One;11
58;Shadow;British;http://en.wikipedia.org/wiki/Shadow_Racing_Cars;1
59;Wolf;Canadian;http://en.wikipedia.org/wiki/Walter_Wolf_Racing;3
64;Hesketh;British;http://en.wikipedia.org/wiki/Hesketh_Racing;1
66;BRM;British;http://en.wikipedia.org/wiki/BRM;17
67;Penske;American;http://en.wikipedia.org/wiki/Penske_Racing;1
87;Cooper;British;http://en.wikipedia.org/wiki/Cooper_Car_Company;2
95;Porsche;German;http://en.wikipedia.org/wiki/Porsche_in_Formula_One;1
105;Maserati;Italian;http://en.wikipedia.org/wiki/Maserati;9
107;Watson;American;http://en.wikipedia.org/wiki/A.J._Watson;3
108;Epperly;American;http://en.wikipedia.org/wiki/Epperly;2
113;Kurtis Kraft;American;http://en.wikipedia.org/wiki/Kurtis_Kraft;5
114;Kuzma;American;http://en.wikipedia.org/wiki/Kuzma_(constructor);1
118;Vanwall;British;http://en.wikipedia.org/wiki/Vanwall;10
131;Mercedes;German;http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One;125
167;Cooper-Maserati;British;http://en.wikipedia.org/wiki/Cooper_Car_Company;2
170;Cooper-Climax;British;http://en.wikipedia.org/wiki/Cooper_Car_Company;12
172;Lotus-Climax;British;http://en.wikipedia.org/wiki/Team_Lotus;22
176;Lotus-BRM;British;http://en.wikipedia.org/wiki/Team_Lotus;1
180;Lotus-Ford;British;http://en.wikipedia.org/wiki/Team_Lotus;11
182;Brabham-Ford;British;http://en.wikipedia.org/wiki/Brabham;2
183;Brabham-Climax;British;http://en.wikipedia.org/wiki/Brabham;2
187;McLaren-Ford;British;http://en.wikipedia.org/wiki/Team_McLaren;4
190;Eagle-Weslake;American;http://en.wikipedia.org/wiki/Anglo_American_Racers;1
191;Brabham-Repco;British;http://en.wikipedia.org/wiki/Brabham;8
196;Matra-Ford;French;http://en.wikipedia.org/wiki/Matra;9
208;Lotus F1;British;http://en.wikipedia.org/wiki/Lotus_F1;2
211;Racing Point;British;http://en.wikipedia.org/wiki/Racing_Point_F1_Team;1
213;AlphaTauri;Italian;http://en.wikipedia.org/wiki/Scuderia_AlphaTauri;1
214;Alpine F1 Team;French;http://en.wikipedia.org/wiki/Alpine_F1_Team;1
